,ticker,announcement_date,trade_date,nav,nav_ret,ret,price,days_from_event,cum_ret
154,ARCC,2016-02-24,2016-02-22,16.46,-0.01965455628350199,0.006275,12.83,-2,0.0062750000000000306
155,ARCC,2016-02-24,2016-02-23,16.46,-0.01965455628350199,0.007015,12.92,-1,0.013334019124999985
156,ARCC,2016-02-24,2016-02-24,16.46,-0.01965455628350199,0.0,12.92,0,0.013334019124999985
157,ARCC,2016-02-24,2016-02-25,16.46,-0.01965455628350199,0.036378,13.39,1,0.05019708407272927
158,ARCC,2016-02-24,2016-02-26,16.46,-0.01965455628350199,0.008962,13.51,2,0.05960895034018887
149,ARCC,2016-05-04,2016-05-02,16.5,0.002430133657351119,-0.000658,15.18,-2,-0.0006580000000000474
150,ARCC,2016-05-04,2016-05-03,16.5,0.002430133657351119,-0.006588,15.08,-1,-0.007241665096000105
151,ARCC,2016-05-04,2016-05-04,16.5,0.002430133657351119,0.011936,15.26,0,0.004607898389414
152,ARCC,2016-05-04,2016-05-05,16.5,0.002430133657351119,-0.01114,15.09,1,-0.006583433598644106
153,ARCC,2016-05-04,2016-05-06,16.5,0.002430133657351119,0.005302,15.17,2,-0.001316338963584185
144,ARCC,2016-08-03,2016-08-01,16.58,0.004848484848484658,0.009908,15.29,-2,0.009908000000000028
145,ARCC,2016-08-03,2016-08-02,16.58,0.004848484848484658,-0.011118,15.12,-1,-0.0013201571439999116
146,ARCC,2016-08-03,2016-08-03,16.58,0.004848484848484658,0.017857,15.39,0,0.01651326880987969
147,ARCC,2016-08-03,2016-08-04,16.58,0.004848484848484658,0.009747,15.54,1,0.02642122364096955
148,ARCC,2016-08-03,2016-08-05,16.58,0.004848484848484658,-0.005148,15.46,2,0.021137207181665785
139,ARCC,2016-11-02,2016-10-31,16.59,0.0006031363088059294,-0.011628,15.3,-2,-0.011627999999999972
140,ARCC,2016-11-02,2016-11-01,16.59,0.0006031363088059294,-0.00915,15.16,-1,-0.020671603799999994
141,ARCC,2016-11-02,2016-11-02,16.59,0.0006031363088059294,0.004617,15.23,0,-0.01615004459474445
142,ARCC,2016-11-02,2016-11-03,16.59,0.0006031363088059294,-0.000657,15.22,1,-0.016796434015445727
143,ARCC,2016-11-02,2016-11-04,16.59,0.0006031363088059294,0.003285,15.27,2,-0.013566610301186444
135,ARCC,2017-02-22,2017-02-21,16.45,-0.008438818565400852,0.002265,17.7,-1,0.0022649999999999615
136,ARCC,2017-02-22,2017-02-22,16.45,-0.008438818565400852,0.002825,17.75,0,0.005096398625000109
137,ARCC,2017-02-22,2017-02-23,16.45,-0.008438818565400852,0.00169,17.78,1,0.006795011538676343
138,ARCC,2017-02-22,2017-02-24,16.45,-0.008438818565400852,0.000562,17.79,2,0.007360830335161106
130,ARCC,2017-05-03,2017-05-01,16.53,0.004863221884498614,-0.003409,17.54,-2,-0.0034089999999999954
131,ARCC,2017-05-03,2017-05-02,16.53,0.004863221884498614,-0.00057,17.53,-1,-0.00397705686999994
132,ARCC,2017-05-03,2017-05-03,16.53,0.004863221884498614,-0.042213,16.79,0,-0.046022173368346686
133,ARCC,2017-05-03,2017-05-04,16.53,0.004863221884498614,-0.006552,16.68,1,-0.05227263608843724
134,ARCC,2017-05-03,2017-05-05,16.53,0.004863221884498614,-0.003597,16.62,2,-0.055681611416427135
125,ARCC,2017-08-02,2017-07-31,16.54,0.000604960677555777,-0.001827,16.39,-2,-0.001827000000000023
126,ARCC,2017-08-02,2017-08-01,16.54,0.000604960677555777,0.00122,16.41,-1,-0.0006092289400000395
127,ARCC,2017-08-02,2017-08-02,16.54,0.000604960677555777,0.002438,16.45,0,0.001827285759844255
128,ARCC,2017-08-02,2017-08-03,16.54,0.000604960677555777,-0.00304,16.4,1,-0.001218269188865695
129,ARCC,2017-08-02,2017-08-04,16.54,0.000604960677555777,0.001829,16.43,2,0.0006085025967879076
120,ARCC,2017-11-02,2017-10-30,16.49,-0.0030229746070133956,-0.007385,16.13,-3,-0.007384999999999975
121,ARCC,2017-11-02,2017-10-31,16.49,-0.0030229746070133956,-0.0031,16.08,-2,-0.010462106500000012
122,ARCC,2017-11-02,2017-11-01,16.49,-0.0030229746070133956,-0.002488,16.04,-1,-0.01292407677902807
123,ARCC,2017-11-02,2017-11-02,16.49,-0.0030229746070133956,-0.011845,15.85,0,-0.024615991089580458
124,ARCC,2017-11-02,2017-11-03,16.49,-0.0030229746070133956,0.008833,15.99,1,-0.01600042413887459
115,ARCC,2018-02-13,2018-02-12,16.65,0.009702850212249814,0.007762,15.58,-1,0.007762000000000047
116,ARCC,2018-02-13,2018-02-13,16.65,0.009702850212249814,0.021181,15.91,0,0.029107406921999868
117,ARCC,2018-02-13,2018-02-14,16.65,0.009702850212249814,0.010685,16.08,1,0.04010341956496144
118,ARCC,2018-02-13,2018-02-15,16.65,0.009702850212249814,-0.011194,15.9,2,0.028460501886351297
119,ARCC,2018-02-13,2018-02-16,16.65,0.009702850212249814,0.005031,15.98,3,0.03363468667134151
110,ARCC,2018-05-02,2018-04-30,16.96,0.0186186186186188,0.000624,16.04,-2,0.0006239999999999579
111,ARCC,2018-05-02,2018-05-01,16.96,0.0186186186186188,-0.001247,16.02,-1,-0.0006237781280000743
112,ARCC,2018-05-02,2018-05-02,16.96,0.0186186186186188,0.003745,16.08,0,0.0031188858229107552
113,ARCC,2018-05-02,2018-05-03,16.96,0.0186186186186188,0.009328,16.23,1,0.012475978789866948
114,ARCC,2018-05-02,2018-05-04,16.96,0.0186186186186188,0.004929,16.31,2,0.017466472889322127
