ticker,quarter_end_date,nav,announcement_date
ARCC,2025-12-31,19.94,2026-02-04
ARCC,2025-09-30,20.01,2025-10-28
ARCC,2025-06-30,19.90,2025-07-29
ARCC,2025-03-31,19.82,2025-04-29
ARCC,2024-12-31,19.89,2025-02-05
ARCC,2024-09-30,19.74,2024-10-30
ARCC,2024-06-30,19.61,2024-07-30
ARCC,2024-03-31,19.53,2024-05-01
ARCC,2023-12-31,19.24,2024-02-07
ARCC,2023-09-30,18.99,2023-10-24
ARCC,2023-06-30,18.58,2023-07-25
ARCC,2023-03-31,18.45,2023-04-25
ARCC,2022-12-31,18.40,2023-02-07
ARCC,2022-09-30,18.56,2022-10-25
ARCC,2022-06-30,18.81,2022-07-26
ARCC,2022-03-31,19.03,2022-04-26
ARCC,2021-12-31,18.96,2022-02-09
ARCC,2021-09-30,18.52,2021-10-26
ARCC,2021-06-30,18.12,2021-07-27
ARCC,2021-03-31,17.45,2021-04-27
ARCC,2020-12-31,16.97,2021-02-10
ARCC,2020-09-30,16.48,2020-10-27
ARCC,2020-06-30,15.83,2020-08-04
ARCC,2020-03-31,15.58,2020-05-05
ARCC,2019-12-31,17.32,2020-02-12
ARCC,2019-09-30,17.26,2019-10-30
ARCC,2019-06-30,17.27,2019-07-30
ARCC,2019-03-31,17.21,2019-04-30
ARCC,2018-12-31,17.12,2019-02-12
ARCC,2018-09-30,17.16,2018-10-31
ARCC,2018-06-30,17.05,2018-08-01
ARCC,2018-03-31,16.96,2018-05-02
ARCC,2017-12-31,16.65,2018-02-13
ARCC,2017-09-30,16.49,2017-11-02
ARCC,2017-06-30,16.54,2017-08-02
ARCC,2017-03-31,16.53,2017-05-03
ARCC,2016-12-31,16.45,2017-02-22
ARCC,2016-09-30,16.59,2016-11-02
ARCC,2016-06-30,16.58,2016-08-03
ARCC,2016-03-31,16.50,2016-05-04
ARCC,2015-12-31,16.46,2016-02-24
ARCC,2015-09-30,16.79,2015-11-04
ARCC,2015-06-30,16.80,2015-08-04
ARCC,2015-03-31,16.71,2015-05-05
MAIN,2025-12-31,30.70,2026-02-20
MAIN,2025-09-30,30.65,2025-11-06
MAIN,2025-06-30,30.58,2025-08-07
MAIN,2025-03-31,30.57,2025-05-08
MAIN,2024-12-31,30.54,2025-02-20
MAIN,2024-09-30,29.80,2024-11-07
MAIN,2024-06-30,29.80,2024-08-08
MAIN,2024-03-31,29.54,2024-05-09
MAIN,2023-12-31,29.20,2024-02-22
MAIN,2023-09-30,28.33,2023-11-02
MAIN,2023-06-30,27.69,2023-08-03
MAIN,2023-03-31,27.23,2023-05-04
MAIN,2022-12-31,26.86,2023-02-23
MAIN,2022-09-30,25.94,2022-11-03
MAIN,2022-06-30,25.37,2022-08-04
MAIN,2022-03-31,25.89,2022-05-05
MAIN,2021-12-31,25.29,2022-02-24
MAIN,2021-09-30,24.27,2021-11-04
MAIN,2021-06-30,23.42,2021-08-05
MAIN,2021-03-31,22.65,2021-05-06
MAIN,2020-12-31,22.35,2021-02-25
MAIN,2020-09-30,21.52,2020-11-05
MAIN,2020-06-30,20.85,2020-08-06
MAIN,2020-03-31,20.91,2020-05-07
MAIN,2019-12-31,23.91,2020-02-27
MAIN,2019-09-30,23.46,2019-11-07
MAIN,2019-06-30,24.30,2019-08-08
MAIN,2019-03-31,24.20,2019-05-09
MAIN,2018-12-31,24.09,2019-02-21
MAIN,2018-09-30,24.71,2018-11-01
MAIN,2018-06-30,23.95,2018-08-02
MAIN,2018-03-31,23.65,2018-05-03
MAIN,2017-12-31,23.53,2018-02-22
MAIN,2017-09-30,23.15,2017-11-02
MAIN,2017-06-30,22.85,2017-08-03
MAIN,2017-03-31,22.45,2017-05-04
MAIN,2016-12-31,22.10,2017-02-23
MAIN,2016-09-30,21.90,2016-11-03
MAIN,2016-06-30,21.50,2016-08-04
MAIN,2016-03-31,21.25,2016-05-05
MAIN,2015-12-31,21.24,2016-02-25
MAIN,2015-09-30,21.56,2015-11-05
MAIN,2015-06-30,21.51,2015-08-06
MAIN,2015-03-31,21.12,2015-05-07
