,yyyymm,ticker,trade_date,price,ret,nav,announcement_date,nav_ret,p_nav_ratio
0,201601,ARCC,2016-01-29,13.9,-0.024561,16.79,2015-11-04,-0.0005952380952382041,0.8278737343656939
1,201601,MAIN,2016-01-29,28.89,-0.000344,21.56,2015-11-05,0.0023245002324499,1.3399814471243043
2,201602,ARCC,2016-02-29,13.66,-0.017266,16.46,2016-02-24,-0.01965455628350199,0.8298906439854191
3,201602,MAIN,2016-02-29,29.42,0.024576,21.24,2016-02-25,-0.014842300556586308,1.3851224105461395
4,201603,ARCC,2016-03-31,14.84,0.114202,16.46,2016-02-24,-0.01965455628350199,0.9015795868772782
5,201603,MAIN,2016-03-31,31.35,0.07172,21.24,2016-02-25,-0.014842300556586308,1.475988700564972
6,201604,ARCC,2016-04-29,15.19,0.023585,16.46,2016-02-24,-0.01965455628350199,0.9228432563791008
7,201604,MAIN,2016-04-29,31.22,0.001595,21.24,2016-02-25,-0.014842300556586308,1.469868173258004
8,201605,ARCC,2016-05-31,14.84,-0.023041,16.5,2016-05-04,0.002430133657351119,0.8993939393939394
9,201605,MAIN,2016-05-31,32.16,0.035875,21.25,2016-05-05,0.0004708097928438626,1.5134117647058822
10,201606,ARCC,2016-06-30,14.2,-0.01752,16.5,2016-05-04,0.002430133657351119,0.8606060606060606
11,201606,MAIN,2016-06-30,32.85,0.035603,21.25,2016-05-05,0.0004708097928438626,1.5458823529411765
12,201607,ARCC,2016-07-29,15.14,0.066197,16.5,2016-05-04,0.002430133657351119,0.9175757575757576
13,201607,MAIN,2016-07-29,33.45,0.023744,21.25,2016-05-05,0.0004708097928438626,1.5741176470588236
14,201608,ARCC,2016-08-31,16.16,0.067371,16.58,2016-08-03,0.004848484848484658,0.974668275030157
15,201608,MAIN,2016-08-31,34.36,0.032586,21.5,2016-08-04,0.0117647058823529,1.5981395348837208
16,201609,ARCC,2016-09-30,15.5,-0.017327,16.58,2016-08-03,0.004848484848484658,0.9348612786489747
17,201609,MAIN,2016-09-30,34.33,0.004511,21.5,2016-08-04,0.0117647058823529,1.5967441860465115
18,201610,ARCC,2016-10-31,15.3,-0.012903,16.58,2016-08-03,0.004848484848484658,0.922798552472859
19,201610,MAIN,2016-10-31,33.56,-0.017041,21.5,2016-08-04,0.0117647058823529,1.5609302325581396
20,201611,ARCC,2016-11-30,16.04,0.048366,16.59,2016-11-02,0.0006031363088059294,0.9668474984930681
21,201611,MAIN,2016-11-30,36.42,0.090733,21.9,2016-11-03,0.018604651162790642,1.6630136986301371
22,201612,ARCC,2016-12-30,16.49,0.051746,16.59,2016-11-02,0.0006031363088059294,0.993972272453285
23,201612,MAIN,2016-12-30,36.77,0.022241,21.9,2016-11-03,0.018604651162790642,1.6789954337899546
24,201701,ARCC,2017-01-31,16.9,0.024864,16.59,2016-11-02,0.0006031363088059294,1.018685955394816
25,201701,MAIN,2017-01-31,35.39,-0.032499,21.9,2016-11-03,0.018604651162790642,1.6159817351598176
26,201702,ARCC,2017-02-28,17.75,0.050296,16.45,2017-02-22,-0.008438818565400852,1.0790273556231003
